name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746230021790996979,3.6,OPEN,FALSE,87.4,6.7,0,0,125000,0,1894,0,eui-00007076ff031372,eui-00007076ff031358,0,0,0,0,-104,-119,2025-05-02T23:53:41.500Z,7,10.2,-3.8
s31lb,1746231221580972633,3.6,OPEN,FALSE,87.7,6.5,0,0,125000,1,1895,0,eui-00007076ff031372,eui-00007076ff031358,0,0,0,0,-101,-117,2025-05-03T00:13:41.298Z,7,8.8,-3.8
s31lb,1746232421397200128,3.6,OPEN,FALSE,87.9,6.6,0,0,125000,5,1896,0,eui-00007076ff031372,unknown,0,0,0,0,-102,0,2025-05-03T00:33:41.097Z,7,10,0
s31lb,1746233621202293225,3.6,OPEN,FALSE,88.1,6.4,0,0,125000,6,1897,0,eui-00007076ff031372,unknown,0,0,0,0,-100,0,2025-05-03T00:53:40.896Z,7,9.2,0
s31lb,1746234820981898258,3.6,OPEN,FALSE,88.7,6.5,0,0,125000,3,1898,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-101,-119,2025-05-03T01:13:40.695Z,7,11,-3.5
s31lb,1746236020792870897,3.6,OPEN,FALSE,87.3,7,0,0,125000,5,1899,0,eui-00007076ff031372,unknown,0,0,0,0,-99,0,2025-05-03T01:33:40.494Z,7,9.2,0
s31lb,1746237220594085760,3.6,OPEN,FALSE,87,6.8,0,0,125000,1,1900,0,eui-00007076ff031358,eui-00007076ff031372,0,0,0,0,-117,-101,2025-05-03T01:53:40.293Z,7,-4.5,8.8
s31lb,1746238420389170212,3.6,OPEN,FALSE,86.7,7.3,0,0,125000,2,1901,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-99,-118,2025-05-03T02:13:40.092Z,7,7.5,-2
s31lb,1746239620179626415,3.6,OPEN,FALSE,87,7.4,0,0,125000,0,1902,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-102,-120,2025-05-03T02:33:39.890Z,7,8.8,-2.8
s31lb,1746240819986426653,3.6,OPEN,FALSE,86.4,7.7,0,0,125000,1,1903,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-102,-119,2025-05-03T02:53:39.688Z,7,9.2,-2.8
s31lb,1746242019785580751,3.6,OPEN,FALSE,86.9,7.7,0,0,125000,5,1904,0,eui-00007076ff031372,unknown,0,0,0,0,-102,0,2025-05-03T03:13:39.485Z,7,9.2,0
s31lb,1746243219583480525,3.6,OPEN,FALSE,88.2,7.5,0,0,125000,7,1905,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-03T03:33:39.283Z,7,7.5,0
s31lb,1746244419392010172,3.6,OPEN,FALSE,87.1,7.9,0,0,125000,3,1906,0,eui-00007076ff031372,unknown,0,0,0,0,-102,0,2025-05-03T03:53:39.080Z,7,9.5,0
s31lb,1746245619187884349,3.6,OPEN,FALSE,85.8,8.2,0,0,125000,5,1907,0,eui-00007076ff031372,unknown,0,0,0,0,-100,0,2025-05-03T04:13:38.877Z,7,9.5,0
